Date	Time	Water vapor H2O[vol-%]	Carbon dioxide CO2[vol-%]	Carbon monoxide CO High[vol-%]	Nitrous oxide N2O[ppm]	Nitrogen monoxide NO[ppm]	Nitrogen dioxide NO2[ppm]	Sulfur dioxide SO2 High[ppm]	Ammonia NH3[ppm]	Hydrogen chloride HCl[ppm]	Hydrogen fluoride HF[ppm]	Methane CH4 High[ppm]	Ethane C2H6[ppm]	Ethylene C2H4[ppm]	Propane C3H8[ppm]	Formaldehyde CHOH[ppm]	Benzen[ppm]	Toluen[ppm]	Carbon monoxide CO Low[ppm]	Sulfur dioxide Low[ppm]	Methane Low[ppm]	Zr Oxygen[vol-%]
2022-10-12	09:56:48	"  0.84"	" -0.00"	"  0.00"	"  0.44"	"  1.27"	"  0.00"	"  0.00"	"  9.51"	"  0.00"	"  0.00"	"  2.66"	"  0.00"	"  0.00"	"  0.30"	"  0.00"	"  0.46"	"  0.00"	"  0.46"	"  0.00"	"  2.66"	" 20.54"
2022-10-12	09:56:55	"  0.85"	" -0.01"	"  0.00"	"  0.47"	"  1.27"	"  0.00"	"  0.00"	"  9.71"	"  0.00"	"  0.00"	"  2.13"	"  0.00"	"  0.00"	"  0.29"	"  0.00"	"  0.44"	"  0.00"	"  0.64"	"  0.00"	"  2.13"	" 20.54"
2022-10-12	09:57:06	"  0.82"	" -0.03"	"  0.00"	"  0.44"	"  0.94"	"  0.00"	"  0.00"	"  9.56"	"  0.29"	"  0.00"	"  1.19"	"  0.00"	"  0.00"	"  0.19"	"  0.00"	"  0.02"	"  0.00"	"  2.34"	"  0.00"	"  1.19"	" 20.53"
2022-10-12	09:57:17	"  0.84"	" -0.01"	"  0.00"	"  0.45"	"  1.18"	"  0.00"	"  0.00"	"  9.28"	"  0.24"	"  0.00"	"  2.35"	"  0.00"	"  0.09"	"  0.23"	"  0.00"	"  0.30"	"  0.00"	"  0.34"	"  0.00"	"  2.35"	" 20.53"
2022-10-12	09:57:30	"  0.84"	" -0.04"	"  0.00"	"  0.44"	"  1.37"	"  0.00"	"  0.00"	"  9.17"	"  0.04"	"  0.00"	"  2.27"	"  0.00"	"  0.00"	"  0.21"	"  0.00"	"  0.54"	"  0.00"	"  0.53"	"  0.00"	"  2.27"	" 20.56"
2022-10-12	09:57:36	"  0.84"	" -0.02"	"  0.00"	"  0.44"	"  1.29"	"  0.00"	"  0.00"	"  9.02"	"  0.00"	"  0.00"	"  2.14"	"  0.00"	"  0.00"	"  0.21"	"  0.00"	"  0.47"	"  0.00"	"  0.55"	"  0.00"	"  2.14"	" 20.54"
2022-10-12	09:57:47	"  0.85"	" -0.03"	"  0.00"	"  0.44"	"  1.34"	"  0.00"	"  0.00"	"  9.04"	"  0.00"	"  0.00"	"  1.25"	"  0.00"	"  0.00"	"  0.15"	"  0.00"	"  0.43"	"  0.00"	"  0.58"	"  0.00"	"  1.25"	" 20.54"
2022-10-12	09:57:58	"  0.85"	" -0.02"	"  0.00"	"  0.41"	"  1.54"	"  0.00"	"  0.00"	"  8.65"	"  0.00"	"  0.00"	"  2.51"	"  0.00"	"  0.00"	"  0.17"	"  0.00"	"  0.47"	"  0.00"	"  0.64"	"  0.00"	"  2.51"	" 20.56"
2022-10-12	09:58:10	"  0.84"	"  0.00"	"  0.00"	"  0.86"	"  1.56"	"  0.00"	"  0.00"	"  8.38"	"  0.17"	"  0.00"	"  2.27"	"  0.00"	"  0.00"	"  0.16"	"  0.00"	"  0.44"	"  0.00"	"  0.55"	"  0.00"	"  2.27"	" 20.55"
2022-10-12	09:58:20	"  0.84"	" -0.02"	"  0.00"	"  0.42"	"  1.58"	"  0.00"	"  0.00"	"  8.44"	"  0.00"	"  0.00"	"  2.33"	"  0.00"	"  0.00"	"  0.20"	"  0.00"	"  0.32"	"  0.00"	"  0.56"	"  0.00"	"  2.33"	" 20.52"
2022-10-12	09:58:27	"  0.84"	" -0.04"	"  0.00"	"  0.43"	"  1.22"	"  0.00"	"  0.00"	"  8.74"	"  0.00"	"  0.00"	"  2.32"	"  0.00"	"  0.00"	"  0.21"	"  0.00"	"  0.45"	"  0.00"	"  0.62"	"  0.00"	"  2.32"	" 20.54"
2022-10-12	09:58:38	"  0.84"	" -0.01"	"  0.00"	"  0.43"	"  1.83"	"  0.00"	"  0.00"	"  8.51"	"  0.00"	"  0.00"	"  2.50"	"  0.00"	"  0.00"	"  0.23"	"  0.00"	"  0.56"	"  0.00"	"  0.54"	"  0.00"	"  2.50"	" 20.50"
2022-10-12	09:58:50	"  0.84"	" -0.01"	"  0.00"	"  0.41"	"  1.80"	"  0.00"	"  0.00"	"  8.24"	"  0.00"	"  0.00"	"  2.22"	"  0.00"	"  0.00"	"  0.17"	"  0.00"	"  0.35"	"  0.00"	"  0.63"	"  0.00"	"  2.22"	" 20.54"
2022-10-12	09:59:02	"  0.85"	"  0.00"	"  0.00"	"  0.42"	"  1.84"	"  0.00"	"  0.00"	"  8.20"	"  0.00"	"  0.00"	"  2.46"	"  0.00"	"  0.00"	"  0.16"	"  0.00"	"  0.45"	"  0.00"	"  0.68"	"  0.00"	"  2.46"	" 20.53"
2022-10-12	09:59:09	"  0.83"	" -0.04"	"  0.00"	"  0.44"	"  1.65"	"  0.00"	"  0.00"	"  8.13"	"  0.00"	"  0.00"	"  2.46"	"  0.00"	"  0.21"	"  0.16"	"  0.00"	"  0.44"	"  0.00"	"  0.55"	"  0.00"	"  2.46"	" 20.50"
2022-10-12	09:59:20	"  0.84"	" -0.01"	"  0.00"	"  0.42"	"  1.54"	"  0.00"	"  0.00"	"  7.88"	"  0.00"	"  0.00"	"  2.13"	"  0.00"	"  0.00"	"  0.20"	"  0.00"	"  0.40"	"  0.00"	"  0.55"	"  0.00"	"  2.13"	" 20.51"
2022-10-12	09:59:31	"  0.85"	" -0.03"	"  0.00"	"  0.42"	"  1.55"	"  0.00"	"  0.00"	"  8.33"	"  0.00"	"  0.00"	"  2.29"	"  0.00"	"  0.00"	"  0.18"	"  0.00"	"  0.38"	"  0.00"	"  0.65"	"  0.00"	"  2.29"	" 20.53"
2022-10-12	09:59:43	"  0.84"	" -0.02"	"  0.00"	"  0.39"	"  0.92"	"  0.00"	"  0.00"	"  8.16"	"  0.00"	"  0.00"	"  2.48"	"  0.00"	"  0.00"	"  0.23"	"  0.00"	"  0.38"	"  0.00"	"  0.81"	"  0.00"	"  2.48"	" 20.52"
2022-10-12	09:59:53	"  0.85"	" -0.03"	"  0.00"	"  0.41"	"  1.48"	"  0.00"	"  0.00"	"  8.15"	"  0.07"	"  0.00"	"  2.42"	"  0.00"	"  0.00"	"  0.28"	"  0.00"	"  0.55"	"  0.00"	"  0.74"	"  0.00"	"  2.42"	" 20.52"
2022-10-12	10:00:00	"  0.85"	" -0.01"	"  0.00"	"  0.43"	"  1.32"	"  0.00"	"  0.00"	"  7.64"	"  0.00"	"  0.00"	"  2.42"	"  0.00"	"  0.00"	"  0.23"	"  0.00"	"  0.43"	"  0.00"	"  0.85"	"  0.00"	"  2.42"	" 20.53"
2022-10-12	10:00:11	"  0.84"	"  0.01"	"  0.00"	"  0.41"	"  1.88"	"  0.00"	"  0.00"	"  7.58"	"  0.00"	"  0.00"	"  2.36"	"  0.00"	"  0.18"	"  0.19"	"  0.00"	"  0.42"	"  0.00"	"  0.86"	"  0.00"	"  2.36"	" 20.53"
2022-10-12	10:00:23	"  0.85"	" -0.00"	"  0.00"	"  0.42"	"  1.75"	"  0.00"	"  0.00"	"  7.22"	"  0.00"	"  0.00"	"  1.15"	"  0.00"	"  0.00"	"  0.14"	"  0.00"	"  0.51"	"  0.00"	"  0.83"	"  0.00"	"  1.15"	" 20.53"
2022-10-12	10:00:36	"  0.83"	" -0.01"	"  0.00"	"  0.39"	"  1.48"	"  0.00"	"  0.00"	"  7.58"	"  0.00"	"  0.00"	"  2.17"	"  0.00"	"  0.00"	"  0.17"	"  0.00"	"  0.43"	"  0.00"	"  0.92"	"  0.00"	"  2.17"	" 20.50"
2022-10-12	10:00:42	"  0.84"	" -0.01"	"  0.00"	"  0.43"	"  1.45"	"  0.00"	"  0.00"	"  7.67"	"  0.00"	"  0.00"	"  2.43"	"  0.00"	"  0.00"	"  0.25"	"  0.00"	"  0.36"	"  0.00"	"  0.93"	"  0.00"	"  2.43"	" 20.54"
2022-10-12	10:00:53	"  0.85"	" -0.02"	"  0.00"	"  0.37"	"  1.66"	"  0.00"	"  0.00"	"  7.56"	"  0.00"	"  0.00"	"  2.06"	"  0.00"	"  0.00"	"  0.15"	"  0.00"	"  0.33"	"  0.00"	"  1.15"	"  0.00"	"  2.06"	" 20.53"
2022-10-12	10:01:05	"  0.84"	" -0.02"	"  0.00"	"  0.41"	"  1.36"	"  0.00"	"  0.00"	"  7.68"	"  0.00"	"  0.00"	"  2.54"	"  0.00"	"  0.00"	"  0.17"	"  0.00"	"  0.44"	"  0.00"	"  1.04"	"  0.00"	"  2.54"	" 20.50"
2022-10-12	10:01:17	"  0.85"	" -0.01"	"  0.00"	"  0.43"	"  1.37"	"  0.00"	"  0.00"	"  7.58"	"  0.00"	"  0.00"	"  2.54"	"  0.00"	"  0.00"	"  0.03"	"  0.00"	"  0.24"	"  0.00"	"  1.40"	"  0.00"	"  2.54"	" 20.47"
2022-10-12	10:01:24	"  0.87"	" -0.01"	"  0.00"	"  0.42"	"  1.57"	"  0.00"	"  0.00"	"  7.59"	"  0.00"	"  0.00"	"  2.35"	"  0.00"	"  0.00"	"  0.01"	"  0.00"	"  0.27"	"  0.00"	"  1.45"	"  0.00"	"  2.35"	" 20.49"
2022-10-12	10:01:34	"  0.88"	" -0.02"	"  0.00"	"  0.39"	"  0.96"	"  0.00"	"  0.00"	"  7.63"	"  0.00"	"  0.00"	"  2.30"	"  0.00"	"  0.01"	"  0.04"	"  0.00"	"  0.18"	"  0.00"	"  1.47"	"  0.00"	"  2.30"	" 20.51"
2022-10-12	10:01:45	"  0.89"	" -0.03"	"  0.00"	"  0.43"	"  1.11"	"  0.00"	"  0.00"	"  7.45"	"  0.00"	"  0.00"	"  2.62"	"  0.00"	"  0.00"	"  0.03"	"  0.00"	"  0.33"	"  0.00"	"  1.64"	"  0.00"	"  2.62"	" 20.49"
2022-10-12	10:01:57	"  0.90"	" -0.02"	"  0.00"	"  0.41"	"  1.02"	"  0.00"	"  0.00"	"  7.65"	"  0.00"	"  0.00"	"  2.21"	"  0.00"	"  0.00"	"  0.01"	"  0.00"	"  0.30"	"  0.00"	"  1.67"	"  0.00"	"  2.21"	" 20.49"
2022-10-12	10:02:10	"  0.90"	" -0.01"	"  0.00"	"  0.39"	"  1.71"	"  0.00"	"  0.00"	"  7.06"	"  0.00"	"  0.00"	"  2.15"	"  0.00"	"  0.00"	"  0.02"	"  0.00"	"  0.21"	"  0.00"	"  1.65"	"  0.00"	"  2.15"	" 20.52"
2022-10-12	10:02:16	"  0.90"	"  0.00"	"  0.00"	"  0.95"	"  1.13"	"  0.00"	"  0.00"	"  7.35"	"  0.00"	"  0.00"	"  2.51"	"  0.00"	"  0.00"	"  0.00"	"  0.00"	"  0.48"	"  0.00"	"  1.76"	"  0.00"	"  2.51"	" 20.49"
2022-10-12	10:02:27	"  0.91"	" -0.00"	"  0.00"	"  0.40"	"  1.60"	"  0.00"	"  0.00"	"  6.85"	"  0.00"	"  0.00"	"  2.59"	"  0.00"	"  0.00"	"  0.02"	"  0.00"	"  0.20"	"  0.00"	"  1.70"	"  0.00"	"  2.59"	" 20.50"
2022-10-12	10:02:38	"  0.91"	" -0.01"	"  0.00"	"  0.40"	"  0.83"	"  0.00"	"  0.00"	"  7.12"	"  0.00"	"  0.00"	"  2.31"	"  0.00"	"  0.00"	"  0.00"	"  0.00"	"  0.29"	"  0.00"	"  1.84"	"  0.00"	"  2.31"	" 20.48"
2022-10-12	10:02:51	"  0.75"	"  4.93"	"  0.27"	"  2.73"	" 59.73"	"  0.15"	"  0.00"	"  6.75"	"  0.23"	"  0.21"	182.60	"  6.74"	" 61.88"	"  0.00"	"  2.46"	" 15.93"	"  0.00"	2701.80	"  0.00"	182.60	" 10.00"
2022-10-12	10:02:57	"  1.44"	"  7.38"	"  0.39"	"  4.22"	108.71	"  0.00"	"  0.00"	"  9.02"	"  0.21"	"  0.66"	220.08	"  7.46"	" 83.84"	"  0.00"	"  3.75"	" 29.39"	"  0.00"	3911.32	"  0.00"	220.08	"  9.93"
2022-10-12	10:03:08	"  2.18"	"  7.69"	"  0.45"	"  4.64"	123.33	"  0.00"	"  0.00"	" 11.07"	"  0.12"	"  1.05"	242.41	"  7.79"	" 93.14"	"  0.00"	"  4.98"	" 35.85"	"  0.00"	4468.14	"  0.00"	242.41	" 10.16"
2022-10-12	10:03:19	"  2.78"	"  7.48"	"  0.42"	"  4.24"	126.10	"  0.00"	"  0.00"	" 11.42"	"  0.32"	"  1.51"	204.99	"  5.39"	" 77.56"	"  0.00"	"  6.14"	" 35.20"	"  0.00"	4187.31	"  0.00"	204.99	" 10.77"
2022-10-12	10:03:31	"  3.35"	"  7.35"	"  0.40"	"  4.54"	124.46	"  3.71"	"  0.00"	" 12.26"	"  0.23"	"  0.94"	180.00	"  6.38"	" 66.03"	"  0.00"	"  6.59"	" 28.81"	"  0.00"	3998.19	"  0.00"	180.00	"  9.56"
2022-10-12	10:03:40	"  3.53"	"  8.22"	"  0.63"	"  4.86"	134.03	"  0.00"	"  0.00"	" 11.90"	"  0.00"	"  1.72"	326.79	" 12.75"	136.48	"  0.00"	" 13.73"	" 48.97"	"  0.00"	6264.74	"  0.00"	326.79	"  6.87"
2022-10-12	10:03:47	"  4.10"	"  9.24"	"  0.73"	"  6.28"	148.70	"  5.62"	"  0.00"	" 12.85"	"  0.00"	"  1.93"	431.52	" 13.68"	170.26	"  0.00"	" 19.86"	" 57.37"	"  0.00"	7339.39	"  0.00"	431.52	"  6.60"
2022-10-12	10:03:58	"  4.61"	"  8.93"	"  0.79"	"  6.25"	151.97	"  5.51"	"  0.00"	" 11.45"	"  0.00"	"  1.89"	490.88	" 16.17"	198.14	"  0.00"	" 26.22"	" 68.71"	"  0.00"	7948.52	"  0.00"	490.88	"  7.30"
2022-10-12	10:04:10	"  5.02"	"  8.15"	"  0.77"	"  6.55"	154.88	"  4.12"	"  0.00"	" 11.06"	"  0.00"	"  2.60"	625.64	" 24.06"	223.92	"  0.00"	" 29.73"	" 75.43"	"  0.00"	7700.75	"  0.00"	625.64	"  8.22"
2022-10-12	10:04:22	"  5.45"	"  7.73"	"  0.72"	"  6.17"	149.81	"  7.06"	"  0.00"	" 11.96"	"  0.00"	"  2.63"	539.38	" 17.95"	197.91	"  0.00"	" 28.47"	" 74.54"	"  0.00"	7245.92	"  0.00"	539.38	"  8.78"
2022-10-12	10:04:29	"  5.59"	"  7.39"	"  0.70"	"  6.08"	145.14	"  6.67"	"  0.00"	" 12.71"	"  0.00"	"  2.63"	487.06	" 13.83"	183.43	"  0.00"	" 27.25"	" 73.36"	"  0.00"	6977.78	"  0.00"	487.06	"  9.08"
2022-10-12	10:04:39	"  5.62"	"  7.15"	"  0.68"	"  5.71"	140.68	"  5.46"	"  0.00"	" 14.23"	"  0.00"	"  2.52"	393.27	" 10.33"	150.01	"  0.00"	" 23.82"	" 66.58"	"  0.00"	6770.25	"  0.00"	393.27	"  9.51"
2022-10-12	10:04:50	"  5.87"	"  6.94"	"  0.62"	"  5.35"	132.68	"  6.57"	"  0.00"	" 15.64"	"  0.00"	"  2.22"	248.29	"  6.57"	" 99.48"	"  0.00"	" 19.37"	" 54.14"	"  0.00"	6193.79	"  0.00"	248.29	"  9.97"
